,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
212,15.0,11.0,0.0,44.0,189.578,15.0,108855.12727272726,103512.0,14.0,10.0,1.0,46.0,207.601,15.0,98157.77192982456,91959.0,14.0,13.0,0.0,37.0,189.423,14.0,111167.94545454544,105345.0,78.0
213,14.0,13.0,0.0,41.0,191.166,14.0,108932.47272727273,102652.0,7.0,9.0,2.0,49.0,205.56,8.0,97941.94736842104,92872.0,15.0,8.0,4.0,37.0,189.132,15.0,110325.49090909088,105507.0,18.0
214,17.0,14.0,0.0,21.0,186.907,17.0,108905.67272727273,104991.0,16.0,11.0,0.0,56.0,204.53400000000002,17.0,98897.98214285713,93338.0,17.0,17.0,0.0,38.0,188.153,17.0,113990.51219512195,106056.0,16.0
215,13.0,17.0,0.0,46.0,188.90599999999998,13.0,106260.98076923077,103880.0,11.0,13.0,0.0,30.0,202.458,12.0,99972.6875,94295.0,6.0,7.0,6.0,42.0,190.81,6.0,110063.48214285713,104579.0,49.0
216,11.0,18.0,0.0,37.0,189.25900000000001,11.0,108579.57142857145,103686.0,9.0,15.0,0.0,41.50445932575788,206.69331998295482,10.0,100451.81358202038,92364.86738966613,12.0,16.0,0.0,38.0,189.919,12.0,111961.3829787234,105070.0,27.0
217,12.0,19.0,0.0,13.0,184.62099999999998,12.0,107703.86666666668,106291.0,12.0,16.0,0.0,45.46060772027307,205.3250168326491,13.0,99189.01069884373,92997.3500646137,5.0,9.0,2.0,41.0,190.929,5.0,110344.16363636364,104514.0,95.0
218,16.0,20.0,0.0,6.0,185.40099999999998,16.0,107170.77777777775,105844.0,13.0,7.0,6.0,48.0,207.576,14.0,97565.7894736842,91970.0,13.0,14.0,0.0,46.0,190.368,13.0,111176.2181818182,104822.0,322.0
219,1.0,1.0,25.0,38.0,195.419,1.0,105962.33928571428,100418.0,2.0,1.0,25.0,21.0,210.815,2.0,113957.28070175438,90557.0,2.0,1.0,25.0,41.0,206.21,2.0,98503.43859649124,94482.0,6.0
220,4.0,2.0,18.0,37.0,195.046,4.0,106636.91071428572,100610.0,3.0,3.0,15.0,23.0,212.235,3.0,114126.45614035089,89951.0,3.0,21.0,0.0,37.13145572736171,205.8580092275938,3.0,99971.65710425214,96918.52668928301,37.0
221,6.0,3.0,15.0,38.0,193.248,6.0,106782.625,101546.0,18.0,22.0,0.0,40.1638688017933,210.61325850206543,18.0,114753.79163184199,90669.14889911332,15.0,7.0,6.0,36.0,203.63299999999998,15.0,100282.67857142855,95678.0,1.0
222,2.0,4.0,12.0,55.0,194.264,2.0,106903.19642857145,101015.0,8.0,4.0,12.0,49.0,214.51,8.0,114384.12280701756,88997.0,5.0,4.0,12.0,44.0,202.81400000000002,5.0,99599.82456140351,96064.0,6.0
223,3.0,5.0,10.0,40.0,195.079,3.0,107138.625,100593.0,4.0,18.0,0.0,21.0,210.48,4.0,152368.7619047619,90701.0,4.0,2.0,18.0,39.0,204.745,4.0,98683.82456140351,95158.0,12.0
224,10.0,6.0,8.0,34.0,192.737,11.0,107310.75,101815.0,6.0,5.0,10.0,39.0,206.861,6.0,114992.0,92288.0,7.0,8.0,4.0,31.0,199.704,7.0,100326.51785714287,97560.0,0.0
225,22.0,7.0,6.0,32.0,194.945,22.0,107359.30357142855,100662.0,1.0,2.0,18.0,48.0,210.608,1.0,114098.68421052633,90646.0,1.0,3.0,15.0,43.0,205.785,1.0,99032.35087719296,94677.0,68.0
226,9.0,8.0,4.0,41.0,195.456,9.0,107377.83928571428,100399.0,5.0,10.0,1.0,44.0,208.606,5.0,115305.22807017545,91516.0,10.0,6.0,8.0,49.0,204.00400000000002,10.0,99923.24561403508,95504.0,39.0
227,8.0,9.0,2.0,35.0,193.364,8.0,107464.60714285713,101485.0,7.0,9.0,2.0,23.0,208.253,7.0,115285.0,91671.0,11.0,18.0,0.0,22.0,197.983,11.0,104221.06896551725,98408.0,0.0
228,5.0,10.0,1.0,23.0,193.225,5.0,107501.48214285713,101558.0,16.0,8.0,4.0,51.0,205.886,11.0,115275.75438596492,92725.0,6.0,9.0,2.0,37.0,200.69799999999998,6.0,100450.64285714287,97077.0,62.0
229,7.0,11.0,0.0,30.0,192.679,7.0,107645.96428571428,101846.0,9.0,13.0,0.0,39.0,205.764,9.0,115566.0350877193,92780.0,18.0,16.0,0.0,39.0,202.808,18.0,101165.57142857145,96067.0,5.0
230,12.0,13.0,0.0,46.0,195.65200000000002,13.0,107783.58928571428,100298.0,12.0,14.0,0.0,33.0,208.22299999999998,13.0,116021.75,91684.0,14.0,20.0,0.0,3.0,195.954,14.0,100905.83333333331,99427.0,0.0
231,18.0,14.0,0.0,45.0,195.516,18.0,107973.4,100368.0,20.0,20.0,0.0,4.0,205.28099999999998,20.0,96172.0,92998.0,13.0,19.0,0.0,2.0,196.12400000000002,13.0,105927.22222222225,99341.0,0.0
232,13.0,15.0,0.0,48.0,196.581,10.0,107997.65454545453,99824.0,10.0,7.0,6.0,49.0,205.646,10.0,115259.01754385965,92833.0,8.0,15.0,0.0,53.0,204.68099999999998,8.0,101132.92857142855,95188.0,6.0
233,15.0,16.0,0.0,41.0,190.024,15.0,108189.41818181818,103269.0,15.0,17.0,0.0,15.0,203.327,16.0,127522.02631578947,93892.0,17.0,12.0,0.0,32.0,198.80200000000002,17.0,100960.30357142855,98003.0,0.0
234,17.0,17.0,0.0,22.0,191.803,17.0,108366.85454545454,102311.0,14.0,12.0,0.0,45.0,206.49400000000003,15.0,115459.1403508772,92452.0,22.0,11.0,0.0,40.0,201.418,19.0,100821.14285714287,96730.0,8.0
235,21.0,18.0,0.0,48.0,193.356,21.0,108454.09090909091,101489.0,21.0,16.0,0.0,34.0,206.00099999999998,22.0,117592.03571428572,92673.0,16.0,13.0,0.0,43.0,204.123,16.0,101005.67857142855,95448.0,0.0
236,14.0,19.0,0.0,47.0,196.387,14.0,108483.74545454542,99923.0,19.0,6.0,8.0,48.0,205.582,19.0,115221.8596491228,92862.0,9.0,5.0,10.0,42.0,202.74900000000002,9.0,99877.1052631579,96095.0,0.0
237,16.0,20.0,0.0,42.0,195.1,16.0,108902.94545454544,100582.0,17.0,15.0,0.0,48.0,205.917,17.0,116172.89285714286,92711.0,21.0,14.0,0.0,49.0,204.312,22.0,101113.66071428572,95360.0,0.0
238,20.0,21.0,0.0,42.0,192.37099999999998,20.0,109003.6909090909,102009.0,22.0,19.0,0.0,15.0,203.424,21.0,99412.23529411764,93847.0,20.0,17.0,0.0,47.0,201.512,21.0,101504.01785714287,96685.0,0.0
239,19.0,22.0,0.0,26.0,191.951,19.0,109043.07272727274,102232.0,13.0,11.0,0.0,14.0,205.37599999999998,14.0,115420.42105263154,92955.0,19.0,22.0,0.0,37.018198790125616,205.94250158551608,20.0,99938.53493928337,96886.68682409066,0.0
240,3.0,1.0,25.0,36.0,207.65200000000002,3.0,98831.12280701754,93826.0,2.0,1.0,25.0,53.0,220.351,2.0,88625.82456140351,86638.0,2.0,2.0,18.0,40.0,205.648,2.0,104685.85714285713,95423.0,317.0
241,2.0,2.0,18.0,46.0,209.952,2.0,98947.9649122807,92798.0,1.0,2.0,18.0,44.0,219.351,1.0,88800.82456140351,87033.0,1.0,1.0,25.0,44.0,205.745,1.0,104574.25,95378.0,363.0
242,1.0,3.0,15.0,33.0,207.076,1.0,99188.9649122807,94087.0,3.0,3.0,15.0,56.0,220.465,3.0,88823.19298245614,86593.0,3.0,6.0,8.0,41.0,204.734,3.0,105445.82142857145,95849.0,305.0
243,5.0,4.0,12.0,55.0,207.887,5.0,99225.42105263156,93720.0,4.0,4.0,12.0,56.0,220.605,4.0,89018.68421052633,86538.0,4.0,5.0,10.0,42.0,204.40599999999998,4.0,105432.75,96003.0,205.0
244,4.0,5.0,10.0,42.0,208.387,4.0,99521.40350877194,93495.0,0.0,17.0,0.0,21.0,213.43099999999998,10.0,98880.04,89447.0,5.0,4.0,12.0,36.0,202.74099999999999,5.0,105396.30357142855,96791.0,200.0
245,8.0,6.0,8.0,39.0,206.705,8.0,99784.2105263158,94256.0,7.0,6.0,8.0,49.0,216.83,7.0,90088.73684210527,88045.0,6.0,14.0,0.0,50.0,203.33,6.0,107716.10909090909,96511.0,43.0
246,18.0,7.0,6.0,39.0,205.933,18.0,99929.47368421053,94609.0,10.0,7.0,6.0,56.0,216.115,11.0,90492.48214285713,88336.0,8.0,9.0,2.0,55.0,203.28799999999998,8.0,106910.72727272726,96531.0,100.0
247,9.0,8.0,4.0,33.0,205.19799999999998,9.0,100144.54385964911,94948.0,6.0,20.0,0.0,12.0,211.68900000000002,6.0,91334.07692307694,90183.0,19.0,11.0,0.0,50.0,201.162,17.0,107259.94545454544,97551.0,28.0
248,7.0,9.0,2.0,40.0,204.28599999999997,7.0,100237.9298245614,95372.0,11.0,11.0,0.0,55.0,215.74900000000002,12.0,91448.66071428572,88486.0,7.0,12.0,0.0,36.0,200.21,7.0,107566.36363636363,98015.0,43.0
249,14.0,10.0,1.0,39.0,204.7,14.0,100510.26315789473,95179.0,13.0,10.0,1.0,55.0,215.77599999999998,14.0,91430.625,88475.0,17.0,10.0,1.0,55.0,202.23,20.0,107030.32727272727,97036.0,87.0
250,11.0,12.0,0.0,45.0,205.118,11.0,100810.41071428572,94985.0,9.0,9.0,2.0,51.0,220.165,9.0,90758.67857142855,86711.0,9.0,17.0,0.0,18.0,196.05900000000003,9.0,122014.44444444445,100090.0,5.0
251,10.0,13.0,0.0,43.0,203.90099999999998,10.0,100939.92857142855,95552.0,19.0,19.0,0.0,6.0,207.06900000000002,20.0,96512.2,92195.0,20.0,13.0,0.0,47.0,199.87099999999998,18.0,107603.61818181818,98181.0,8.0
252,15.0,14.0,0.0,47.0,203.80900000000003,15.0,101404.44444444444,95595.0,12.0,14.0,0.0,48.0,211.938,13.0,91728.38,90077.0,13.0,16.0,0.0,31.0,197.23,13.0,111278.27272727274,99496.0,17.0
253,19.0,15.0,0.0,35.0,204.9,19.0,101414.46,95086.0,14.0,18.0,0.0,18.0,207.391,15.0,94355.71428571428,92052.0,14.0,15.0,0.0,50.0,196.763,14.0,108233.74545454542,99732.0,0.0
254,16.0,16.0,0.0,8.0,198.755,16.0,99045.0,98026.0,8.0,8.0,4.0,53.0,217.74,8.0,90515.58928571428,87677.0,11.0,7.0,6.0,30.0,201.47799999999998,11.0,105875.91071428572,97398.0,54.0
255,12.0,17.0,0.0,10.0,202.31099999999998,12.0,100738.91666666669,96303.0,20.0,16.0,0.0,38.0,213.56900000000002,19.0,92860.525,89389.0,10.0,20.0,0.0,36.584249460250746,205.74308108142668,10.0,100429.35378874114,96962.39853559334,40.0
256,6.0,18.0,0.0,4.0,201.52,6.0,97499.09090909091,96681.0,5.0,5.0,10.0,43.0,219.525,5.0,89131.56140350876,86964.0,16.0,3.0,15.0,31.0,202.886,19.0,105381.25,96722.0,168.0
257,20.0,19.0,0.0,6.0,197.362,20.0,100029.625,98718.0,17.0,15.0,0.0,46.0,218.011,17.0,93984.71739130435,87568.0,12.0,8.0,4.0,35.0,201.209,12.0,106651.70909090908,97528.0,19.0
258,17.0,20.0,0.0,40.33376695317006,172.06248699190033,17.0,126699.29592982032,114103.15329758021,18.0,13.0,0.0,53.0,213.44799999999998,18.0,92705.58181818182,89440.0,15.0,18.0,0.0,15.0,193.412,16.0,126416.47058823527,101460.0,13.0
