,grid3,positionorder3,points3,fastestlap3,fastestlapspeed3,qposition3,meanlaptime3,fastlaptime3,grid1,positionorder1,points1,fastestlap1,fastestlapspeed1,qposition1,meanlaptime1,fastlaptime1,grid2,positionorder2,points2,fastestlap2,fastestlapspeed2,qposition2,meanlaptime2,fastlaptime2,championship_points
247,16,12,0,39,195.923,16,105717.29824561405,99443,22,15,0,41,200.363,21,101027.09302325582,94766,15,11,0,42,187.855,16,110137.0181818182,106224,8
248,21,13,0,48,191.34,22,106011.43859649124,101825,17,13,0,33,202.658,17,101837.61818181818,95635,21,15,0,49,184.341,21,111808.16666666669,108249,0
249,17,14,0,52,195.484,17,106062.2105263158,99666,21,16,0,30,201.451,22,104033.41379310343,97332,16,21,0,6,179.888,17,115515.28571428572,110929,2
250,18,15,0,17,192.434,19,106502.50877192985,101246,14,21,0,,,15,,,20,13,0,53,185.19,20,110868.14545454546,107753,0
251,19,16,0,44,190.684,20,108206.51785714287,102175,18,14,0,55,199.621,18,115760.02040816328,95281,19,20,0,4,179.01,19,128704,111473,2
252,6,17,0,37,195.683,7,106506.96363636364,99565,10,3,15,39,205.46,11,98398.8947368421,93186,10,6,8,47,188.183,10,109101.16071428572,106039,126
253,8,18,0,40,194.621,9,103879.35,100108,4,2,18,49,205.131,4,98341.87719298246,92917,8,9,2,44,189.372,8,109606.63636363637,105373,55
254,15,19,0,32,193.481,15,104071.79487179489,100698,20,12,0,41,201.882,19,99874.21428571428,94202,12,17,0,27,185.14,12,111369.62857142858,107782,0
255,20,20,0,28,192.647,21,105419.57575757576,101134,19,17,0,17,196.141,20,105014.29629629626,97064,22,14,0,40,185.626,22,111805.75925925926,107500,0
256,14,21,0,16,191.669,14,109378.61111111114,101650,6,8,4,56,203.763,6,98932.47368421053,93864,9,19,0,4,183.869,9,116105.83333333331,108527,
257,22,22,0,9,191.403,18,116078.82352941176,101791,13,11,0,34,204.472,14,99765.21428571428,94564,17,18,0,27,184.698,18,111436.59375,108040,0
258,1,1,25,31,191.996,1,106821.57142857145,102208,1,1,25,50,209.915,1,95070.12068965516,90945,1,2,18,45,193.501,1,108470.75,103125,381
259,2,2,18,39,191.328,2,106834.32142857145,102565,2,2,18,47,209.577,2,95093.56896551725,91092,3,3,15,43,195.516,3,108537.55357142855,102062,322
